Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Recharge & bill payments,andaman-&-nicobar-islands,2018,1,TOTAL,4200,1845307.4673655091
Peer-to-peer payments,andaman-&-nicobar-islands,2018,1,TOTAL,1871,12138655.299749982
Merchant payments,andaman-&-nicobar-islands,2018,1,TOTAL,298,452507.168646613
Financial Services,andaman-&-nicobar-islands,2018,1,TOTAL,33,10601.419933464953
Others,andaman-&-nicobar-islands,2018,1,TOTAL,256,184689.8662902223
Recharge & bill payments,andaman-&-nicobar-islands,2018,2,TOTAL,6735,2320944.731074479
Peer-to-peer payments,andaman-&-nicobar-islands,2018,2,TOTAL,3575,24511925.231047668
Merchant payments,andaman-&-nicobar-islands,2018,2,TOTAL,603,1024491.0133579008
Financial Services,andaman-&-nicobar-islands,2018,2,TOTAL,59,121336.0270987509
Others,andaman-&-nicobar-islands,2018,2,TOTAL,368,359838.50537474576
Recharge & bill payments,andaman-&-nicobar-islands,2018,3,TOTAL,8636,4343504.868377829
Peer-to-peer payments,andaman-&-nicobar-islands,2018,3,TOTAL,6448,49270781.541635044
Merchant payments,andaman-&-nicobar-islands,2018,3,TOTAL,945,1627359.8394868043
Financial Services,andaman-&-nicobar-islands,2018,3,TOTAL,42,1481.4907042806485
Others,andaman-&-nicobar-islands,2018,3,TOTAL,194,314343.39410715323
Recharge & bill payments,andaman-&-nicobar-islands,2018,4,TOTAL,11517,5450549.512294375
Peer-to-peer payments,andaman-&-nicobar-islands,2018,4,TOTAL,10451,81001456.97825177
Merchant payments,andaman-&-nicobar-islands,2018,4,TOTAL,1421,3552027.735492656
Financial Services,andaman-&-nicobar-islands,2018,4,TOTAL,29,76035.7877393286
Others,andaman-&-nicobar-islands,2018,4,TOTAL,340,468266.0606770435
Recharge & bill payments,andaman-&-nicobar-islands,2019,1,TOTAL,15263,6611459.8729725825
Peer-to-peer payments,andaman-&-nicobar-islands,2019,1,TOTAL,13119,91808345.86839552
Merchant payments,andaman-&-nicobar-islands,2019,1,TOTAL,1759,3266589.8469614363
Financial Services,andaman-&-nicobar-islands,2019,1,TOTAL,62,116250.43671861099
Others,andaman-&-nicobar-islands,2019,1,TOTAL,283,497094.6484417205
Recharge & bill payments,andaman-&-nicobar-islands,2019,2,TOTAL,14676,7242448.256212333
Peer-to-peer payments,andaman-&-nicobar-islands,2019,2,TOTAL,14481,107525358.66652842
Merchant payments,andaman-&-nicobar-islands,2019,2,TOTAL,4031,4702152.616619372
Financial Services,andaman-&-nicobar-islands,2019,2,TOTAL,124,113278.91371326067
Others,andaman-&-nicobar-islands,2019,2,TOTAL,377,671471.222589792
Recharge & bill payments,andaman-&-nicobar-islands,2019,3,TOTAL,16219,8171737.705916681
Peer-to-peer payments,andaman-&-nicobar-islands,2019,3,TOTAL,13767,101079821.10344616
Merchant payments,andaman-&-nicobar-islands,2019,3,TOTAL,3519,4428734.574846684
Financial Services,andaman-&-nicobar-islands,2019,3,TOTAL,50,158857.94315586874
Others,andaman-&-nicobar-islands,2019,3,TOTAL,215,232624.75992853564
Peer-to-peer payments,andaman-&-nicobar-islands,2019,4,TOTAL,18128,121493224.30754511
Recharge & bill payments,andaman-&-nicobar-islands,2019,4,TOTAL,13851,9538690.916424634
Merchant payments,andaman-&-nicobar-islands,2019,4,TOTAL,2920,5247500.487902376
Financial Services,andaman-&-nicobar-islands,2019,4,TOTAL,60,295937.2110898865
Others,andaman-&-nicobar-islands,2019,4,TOTAL,200,263177.5944158883
Peer-to-peer payments,andaman-&-nicobar-islands,2020,1,TOTAL,18324,142332401.79234773
Recharge & bill payments,andaman-&-nicobar-islands,2020,1,TOTAL,18268,10850414.023977457
Merchant payments,andaman-&-nicobar-islands,2020,1,TOTAL,4424,7752871.558217709
Financial Services,andaman-&-nicobar-islands,2020,1,TOTAL,66,208231.73071652642
Others,andaman-&-nicobar-islands,2020,1,TOTAL,216,332393.19201521645
Recharge & bill payments,andaman-&-nicobar-islands,2020,2,TOTAL,38125,17659622.73418829
Peer-to-peer payments,andaman-&-nicobar-islands,2020,2,TOTAL,20303,141728757.73517442
Merchant payments,andaman-&-nicobar-islands,2020,2,TOTAL,4004,9236375.740471343
Financial Services,andaman-&-nicobar-islands,2020,2,TOTAL,175,706932.1397115812
Others,andaman-&-nicobar-islands,2020,2,TOTAL,355,313313.0646014327
Recharge & bill payments,andaman-&-nicobar-islands,2020,3,TOTAL,59310,24756220.875469353
Peer-to-peer payments,andaman-&-nicobar-islands,2020,3,TOTAL,40697,289078946.7312394
Merchant payments,andaman-&-nicobar-islands,2020,3,TOTAL,16096,22682992.238478824
Financial Services,andaman-&-nicobar-islands,2020,3,TOTAL,572,961836.7129860274
Others,andaman-&-nicobar-islands,2020,3,TOTAL,808,539449.7721868362
Peer-to-peer payments,andaman-&-nicobar-islands,2020,4,TOTAL,81439,533316526.1814983
Recharge & bill payments,andaman-&-nicobar-islands,2020,4,TOTAL,80811,33710030.534383245
Merchant payments,andaman-&-nicobar-islands,2020,4,TOTAL,59391,56867468.940003954
Financial Services,andaman-&-nicobar-islands,2020,4,TOTAL,965,1880546.9672370641
Others,andaman-&-nicobar-islands,2020,4,TOTAL,1925,1508083.6917299272
Peer-to-peer payments,andaman-&-nicobar-islands,2021,1,TOTAL,105458,665391395.715478
Recharge & bill payments,andaman-&-nicobar-islands,2021,1,TOTAL,84119,37160922.86506996
Merchant payments,andaman-&-nicobar-islands,2021,1,TOTAL,53090,78606979.05751458
Financial Services,andaman-&-nicobar-islands,2021,1,TOTAL,884,1469351.0852598653
Others,andaman-&-nicobar-islands,2021,1,TOTAL,1201,1077918.666433228
Peer-to-peer payments,andaman-&-nicobar-islands,2021,2,TOTAL,132772,748382044.7707307
Recharge & bill payments,andaman-&-nicobar-islands,2021,2,TOTAL,120911,43691961.26275121
Merchant payments,andaman-&-nicobar-islands,2021,2,TOTAL,85143,103707408.50908463
Financial Services,andaman-&-nicobar-islands,2021,2,TOTAL,960,2038521.5136710338
Others,andaman-&-nicobar-islands,2021,2,TOTAL,1628,1327080.0560584562
