States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,north and middle andaman,2018,1,TOTAL,442,931663.0770939873
andaman-&-nicobar-islands,south andaman,2018,1,TOTAL,5688,12560249.34366581
andaman-&-nicobar-islands,nicobars,2018,1,TOTAL,528,1139848.801225994
andaman-&-nicobar-islands,north and middle andaman,2018,2,TOTAL,825,1317863.0834906558
andaman-&-nicobar-islands,south andaman,2018,2,TOTAL,9395,23948235.51634325
andaman-&-nicobar-islands,nicobars,2018,2,TOTAL,1120,3072436.9081196385
andaman-&-nicobar-islands,north and middle andaman,2018,3,TOTAL,1283,4901529.518499676
andaman-&-nicobar-islands,south andaman,2018,3,TOTAL,13511,44268112.46425246
andaman-&-nicobar-islands,nicobars,2018,3,TOTAL,1471,6387829.151558982
andaman-&-nicobar-islands,north and middle andaman,2018,4,TOTAL,2137,7955635.917688001
andaman-&-nicobar-islands,south andaman,2018,4,TOTAL,20136,75411840.8018554
andaman-&-nicobar-islands,nicobars,2018,4,TOTAL,1485,7180859.354911782
andaman-&-nicobar-islands,north and middle andaman,2019,1,TOTAL,3264,9561708.736298349
andaman-&-nicobar-islands,south andaman,2019,1,TOTAL,25683,85501972.38780196
andaman-&-nicobar-islands,nicobars,2019,1,TOTAL,1539,7236059.549389593
andaman-&-nicobar-islands,north and middle andaman,2019,2,TOTAL,3371,8612103.137888122
andaman-&-nicobar-islands,south andaman,2019,2,TOTAL,28490,102530955.71341258
andaman-&-nicobar-islands,nicobars,2019,2,TOTAL,1828,9111650.82436246
andaman-&-nicobar-islands,north and middle andaman,2019,3,TOTAL,4049,11481466.283356793
andaman-&-nicobar-islands,south andaman,2019,3,TOTAL,27421,91023888.32848613
andaman-&-nicobar-islands,nicobars,2019,3,TOTAL,2300,11566421.475451011
andaman-&-nicobar-islands,north and middle andaman,2019,4,TOTAL,4716,13524056.784573946
andaman-&-nicobar-islands,south andaman,2019,4,TOTAL,27843,110930312.20611623
andaman-&-nicobar-islands,nicobars,2019,4,TOTAL,2600,12384161.52668771
andaman-&-nicobar-islands,north and middle andaman,2020,1,TOTAL,5674,14697371.617857102
andaman-&-nicobar-islands,south andaman,2020,1,TOTAL,32713,134679396.90582755
andaman-&-nicobar-islands,nicobars,2020,1,TOTAL,2911,12099543.773590054
andaman-&-nicobar-islands,north and middle andaman,2020,2,TOTAL,10979,22447714.061058953
andaman-&-nicobar-islands,south andaman,2020,2,TOTAL,48088,132855778.74838585
andaman-&-nicobar-islands,nicobars,2020,2,TOTAL,3895,14341508.60470232
andaman-&-nicobar-islands,north and middle andaman,2020,3,TOTAL,16747,33486883.370425556
andaman-&-nicobar-islands,south andaman,2020,3,TOTAL,95323,282366109.20523936
andaman-&-nicobar-islands,nicobars,2020,3,TOTAL,5413,22166453.754695386
andaman-&-nicobar-islands,north and middle andaman,2020,4,TOTAL,29349,68941322.38839513
andaman-&-nicobar-islands,south andaman,2020,4,TOTAL,186494,523122462.88302904
andaman-&-nicobar-islands,nicobars,2020,4,TOTAL,8688,35218871.04342849
andaman-&-nicobar-islands,north and middle andaman,2021,1,TOTAL,27358,75027255.27919498
andaman-&-nicobar-islands,south andaman,2021,1,TOTAL,207092,669604045.1248703
andaman-&-nicobar-islands,nicobars,2021,1,TOTAL,10302,39075266.9856904
andaman-&-nicobar-islands,north and middle andaman,2021,2,TOTAL,39200,90233388.79463302
andaman-&-nicobar-islands,south andaman,2021,2,TOTAL,286907,760893020.5704944
andaman-&-nicobar-islands,nicobars,2021,2,TOTAL,15307,48020606.74716837
andaman-&-nicobar-islands,north and middle andaman,2021,3,TOTAL,46592,118254865.82750683
andaman-&-nicobar-islands,south andaman,2021,3,TOTAL,382418,1116789010.6459613
andaman-&-nicobar-islands,nicobars,2021,3,TOTAL,20754,74980519.3281361
andaman-&-nicobar-islands,north and middle andaman,2021,4,TOTAL,53115,156486112.28732437
andaman-&-nicobar-islands,south andaman,2021,4,TOTAL,558571,1694794708.0093334
andaman-&-nicobar-islands,nicobars,2021,4,TOTAL,24437,81329281.0269996
andaman-&-nicobar-islands,north and middle andaman,2022,1,TOTAL,60059,161624878.52274162
andaman-&-nicobar-islands,south andaman,2022,1,TOTAL,705512,1872991195.902684
andaman-&-nicobar-islands,nicobars,2022,1,TOTAL,29177,94414127.64974089
andaman-&-nicobar-islands,north and middle andaman,2022,2,TOTAL,72573,195693167.78757268
andaman-&-nicobar-islands,south andaman,2022,2,TOTAL,954875,2357326563.362071
andaman-&-nicobar-islands,nicobars,2022,2,TOTAL,43769,132900618.93062323
andaman-&-nicobar-islands,north and middle andaman,2022,3,TOTAL,79574,211581970.34202656
