States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
puducherry,2018,1,TOTAL,104212,165825971.36983618
tamil nadu,2018,1,TOTAL,6726622,11261557697.516891
uttar pradesh,2018,1,TOTAL,12537805,13939970923.223106
madhya pradesh,2018,1,TOTAL,8025395,8681603403.446348
andhra pradesh,2018,1,TOTAL,9039585,11996276391.823706
tripura,2018,1,TOTAL,148157,137978914.53062224
lakshadweep,2018,1,TOTAL,778,1928611.1808777403
manipur,2018,1,TOTAL,84069,128046173.93020926
maharashtra,2018,1,TOTAL,16387034,21711613257.725674
dadra & nagar haveli & daman & diu,2018,1,TOTAL,148549,175658384.10921687
meghalaya,2018,1,TOTAL,49571,66250259.78990036
andaman & nicobar islands,2018,1,TOTAL,6658,14631761.22198579
haryana,2018,1,TOTAL,4480770,6793511514.660528
rajasthan,2018,1,TOTAL,7591690,8926293130.726837
ladakh,2018,1,TOTAL,6089,12532857.771114783
punjab,2018,1,TOTAL,1870433,2780758224.854389
assam,2018,1,TOTAL,1056881,1157804456.212469
jharkhand,2018,1,TOTAL,2178921,2374186389.9194
odisha,2018,1,TOTAL,5809821,4627632210.887628
bihar,2018,1,TOTAL,5824302,6045758172.017314
kerala,2018,1,TOTAL,1771380,2402674753.100502
karnataka,2018,1,TOTAL,12016899,19217895314.012802
chandigarh,2018,1,TOTAL,381895,613435420.8676233
telangana,2018,1,TOTAL,8522766,13308204118.542435
himachal pradesh,2018,1,TOTAL,481918,628737806.3723404
west bengal,2018,1,TOTAL,11710225,10625978552.140453
gujarat,2018,1,TOTAL,5948775,7577982255.034092
sikkim,2018,1,TOTAL,44078,64650938.94036834
nagaland,2018,1,TOTAL,42845,78005891.08612517
mizoram,2018,1,TOTAL,18561,45227219.975790836
chhattisgarh,2018,1,TOTAL,1891514,2149155557.2367463
jammu & kashmir,2018,1,TOTAL,941568,1005371239.2561305
goa,2018,1,TOTAL,160897,303856742.34308386
arunachal pradesh,2018,1,TOTAL,45497,92387336.00940911
delhi,2018,1,TOTAL,7122754,11211503806.91996
uttarakhand,2018,1,TOTAL,1246685,1508545358.5238864
puducherry,2018,2,TOTAL,130261,285801119.5324367
tamil nadu,2018,2,TOTAL,9992128,20125844276.267662
uttar pradesh,2018,2,TOTAL,17710943,25720201695.701435
madhya pradesh,2018,2,TOTAL,10561412,15924081066.680986
