States,District,registeredUsers,appOpens,Transaction_Year,Quarters
andaman-&-nicobar-islands,north and middle andaman,632,0,2018,1
andaman-&-nicobar-islands,south andaman,5846,0,2018,1
andaman-&-nicobar-islands,nicobars,262,0,2018,1
andaman-&-nicobar-islands,north and middle andaman,911,0,2018,2
andaman-&-nicobar-islands,south andaman,8143,0,2018,2
andaman-&-nicobar-islands,nicobars,351,0,2018,2
andaman-&-nicobar-islands,north and middle andaman,1208,0,2018,3
andaman-&-nicobar-islands,south andaman,10474,0,2018,3
andaman-&-nicobar-islands,nicobars,467,0,2018,3
andaman-&-nicobar-islands,north and middle andaman,1553,0,2018,4
andaman-&-nicobar-islands,south andaman,13133,0,2018,4
andaman-&-nicobar-islands,nicobars,536,0,2018,4
andaman-&-nicobar-islands,north and middle andaman,2013,0,2019,1
andaman-&-nicobar-islands,south andaman,15961,0,2019,1
andaman-&-nicobar-islands,nicobars,622,0,2019,1
andaman-&-nicobar-islands,north and middle andaman,2417,6118,2019,2
andaman-&-nicobar-islands,south andaman,18621,43569,2019,2
andaman-&-nicobar-islands,nicobars,693,2953,2019,2
andaman-&-nicobar-islands,north and middle andaman,2662,22064,2019,3
andaman-&-nicobar-islands,south andaman,20518,138190,2019,3
andaman-&-nicobar-islands,nicobars,751,10853,2019,3
andaman-&-nicobar-islands,north and middle andaman,2955,26253,2019,4
andaman-&-nicobar-islands,south andaman,22202,139646,2019,4
andaman-&-nicobar-islands,nicobars,803,11113,2019,4
andaman-&-nicobar-islands,north and middle andaman,3315,30444,2020,1
andaman-&-nicobar-islands,south andaman,24174,151529,2020,1
andaman-&-nicobar-islands,nicobars,879,11613,2020,1
andaman-&-nicobar-islands,north and middle andaman,4100,56992,2020,2
andaman-&-nicobar-islands,south andaman,27626,231071,2020,2
andaman-&-nicobar-islands,nicobars,984,17009,2020,2
andaman-&-nicobar-islands,north and middle andaman,5355,76553,2020,3
andaman-&-nicobar-islands,south andaman,34833,417785,2020,3
andaman-&-nicobar-islands,nicobars,1147,21227,2020,3
andaman-&-nicobar-islands,north and middle andaman,7076,125915,2020,4
andaman-&-nicobar-islands,south andaman,43908,725321,2020,4
andaman-&-nicobar-islands,nicobars,1412,35972,2020,4
andaman-&-nicobar-islands,north and middle andaman,7833,121680,2021,1
andaman-&-nicobar-islands,south andaman,48352,837589,2021,1
andaman-&-nicobar-islands,nicobars,1573,45067,2021,1
andaman-&-nicobar-islands,north and middle andaman,8493,596182,2021,2
andaman-&-nicobar-islands,south andaman,51903,1270226,2021,2
andaman-&-nicobar-islands,nicobars,1699,381815,2021,2
andaman-&-nicobar-islands,north and middle andaman,9263,759314,2021,3
andaman-&-nicobar-islands,south andaman,55873,1771107,2021,3
andaman-&-nicobar-islands,nicobars,1846,591204,2021,3
andaman-&-nicobar-islands,north and middle andaman,10002,171921,2021,4
andaman-&-nicobar-islands,south andaman,59807,1863037,2021,4
andaman-&-nicobar-islands,nicobars,1971,77952,2021,4
andaman-&-nicobar-islands,north and middle andaman,10720,904869,2022,1
andaman-&-nicobar-islands,south andaman,63487,2368756,2022,1
andaman-&-nicobar-islands,nicobars,2081,573782,2022,1
andaman-&-nicobar-islands,north and middle andaman,11379,963824,2022,2
andaman-&-nicobar-islands,south andaman,66959,3404740,2022,2
andaman-&-nicobar-islands,nicobars,2192,811449,2022,2
andaman-&-nicobar-islands,north and middle andaman,11897,1176567,2022,3
andaman-&-nicobar-islands,south andaman,70445,3607286,2022,3
andaman-&-nicobar-islands,nicobars,2300,1284501,2022,3
andaman-&-nicobar-islands,north and middle andaman,12361,313502,2022,4
andaman-&-nicobar-islands,south andaman,73692,3881359,2022,4
andaman-&-nicobar-islands,nicobars,2389,159232,2022,4
andhra-pradesh,east godavari,350356,0,2018,1
andhra-pradesh,srikakulam,143839,0,2018,1
andhra-pradesh,visakhapatnam,497187,0,2018,1
andhra-pradesh,prakasam,189949,0,2018,1
andhra-pradesh,anantapur,241192,0,2018,1
andhra-pradesh,kurnool,240133,0,2018,1
andhra-pradesh,guntur,317065,0,2018,1
andhra-pradesh,krishna,323673,0,2018,1
andhra-pradesh,spsr nellore,194475,0,2018,1
andhra-pradesh,vizianagaram,128905,0,2018,1
andhra-pradesh,ysr,186800,0,2018,1
andhra-pradesh,west godavari,213335,0,2018,1
