Pincodes,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
bengaluru urban,2018,1,TOTAL,2917356,4684262246.184548
pune,2018,1,TOTAL,2636324,3714139312.238586
central delhi,2018,1,TOTAL,2227885,3105208723.475169
mumbai,2018,1,TOTAL,2010196,2997847000.265506
chennai,2018,1,TOTAL,1764956,2366771285.7278423
hyderabad,2018,1,TOTAL,1390629,1851145374.4001179
jaipur,2018,1,TOTAL,1055656,1413523605.5956619
birbhum,2018,1,TOTAL,933013,1643061976.4262943
kolkata,2018,1,TOTAL,832846,898730606.684653
bhopal,2018,1,TOTAL,690196,987613438.9540119
bengaluru urban,2018,2,TOTAL,3777086,7545089760.607167
pune,2018,2,TOTAL,3069733,5237594871.124264
chennai,2018,2,TOTAL,2771900,5194488793.022476
central delhi,2018,2,TOTAL,2631405,4703762207.003538
mumbai,2018,2,TOTAL,2134258,3697928407.603048
jaipur,2018,2,TOTAL,1473202,2566583723.725673
hyderabad,2018,2,TOTAL,1316115,2145613783.5507011
birbhum,2018,2,TOTAL,1024336,2257038218.1929708
kolkata,2018,2,TOTAL,971854,1673280979.3831716
north twenty four parganas,2018,2,TOTAL,928983,1443626493.1959715
bengaluru urban,2018,3,TOTAL,7198882,9029499185.157822
central delhi,2018,3,TOTAL,5764203,10161197002.295376
pune,2018,3,TOTAL,4430587,7070098756.153783
birbhum,2018,3,TOTAL,3111609,5436005565.19679
chennai,2018,3,TOTAL,2644866,4429377129.783087
hyderabad,2018,3,TOTAL,2531420,3555553312.5767612
khordha,2018,3,TOTAL,1726388,3077635699.337487
bankura,2018,3,TOTAL,1689517,2829639683.4067717
jaipur,2018,3,TOTAL,1439623,671779876.5266988
north twenty four parganas,2018,3,TOTAL,1438458,2181626866.4046803
bengaluru urban,2018,4,TOTAL,7725284,14030425393.295612
pune,2018,4,TOTAL,7532374,11605568511.039162
central delhi,2018,4,TOTAL,5539392,10066365923.24963
hyderabad,2018,4,TOTAL,4586309,8474903607.1238575
chennai,2018,4,TOTAL,3284268,5847016363.011223
jaipur,2018,4,TOTAL,2939284,4991163446.523161
gautam buddha nagar,2018,4,TOTAL,2576408,4841883809.168822
mumbai,2018,4,TOTAL,2504916,3217987818.841588
rangareddy,2018,4,TOTAL,2176631,3917444399.4306126
kolkata,2018,4,TOTAL,1630650,1941175277.185885
bengaluru urban,2019,1,TOTAL,16241340,23597361226.512825
hyderabad,2019,1,TOTAL,10251048,13201959766.05106
pune,2019,1,TOTAL,9957548,15399177052.931395
jaipur,2019,1,TOTAL,8217185,12799152324.27052
rangareddy,2019,1,TOTAL,6689740,9632804730.117004
central delhi,2019,1,TOTAL,6494529,10238553958.763014
chennai,2019,1,TOTAL,6353573,7885002278.529919
gautam buddha nagar,2019,1,TOTAL,5641935,9202990658.018358
medchal malkajgiri,2019,1,TOTAL,4954219,7600396570.221162
new delhi,2019,1,TOTAL,4596696,4223121104.413077
bengaluru urban,2019,2,TOTAL,27169035,40026681539.0066
pune,2019,2,TOTAL,23303184,42709920754.79193
hyderabad,2019,2,TOTAL,22544991,34073354893.758354
jaipur,2019,2,TOTAL,20001452,31366326747.68567
new delhi,2019,2,TOTAL,14130072,26047079270.71371
rangareddy,2019,2,TOTAL,9694969,12068405239.946836
patna,2019,2,TOTAL,9362673,19331794343.882797
khordha,2019,2,TOTAL,8966947,16438621373.818607
kolkata,2019,2,TOTAL,8318660,12733845249.989027
lucknow,2019,2,TOTAL,6992850,13700604318.48539
bengaluru urban,2019,3,TOTAL,34182229,49823702321.09828
pune,2019,3,TOTAL,27360144,55516914964.120514
hyderabad,2019,3,TOTAL,25995035,42031275308.282005
jaipur,2019,3,TOTAL,20159577,36968948004.60185
new delhi,2019,3,TOTAL,15037317,31903765546.790287
rangareddy,2019,3,TOTAL,11494363,14573984421.133255
khordha,2019,3,TOTAL,9990982,16300297217.157505
medchal malkajgiri,2019,3,TOTAL,8554034,21451659382.23745
visakhapatnam,2019,3,TOTAL,7234595,14467758895.186302
kolkata,2019,3,TOTAL,6687157,17110382946.6282
bengaluru urban,2019,4,TOTAL,48600127,67204107791.7798
pune,2019,4,TOTAL,32779718,51360244641.273315
hyderabad,2019,4,TOTAL,32637373,67244225971.71475
jaipur,2019,4,TOTAL,22861243,44827058149.79611
rangareddy,2019,4,TOTAL,17153003,41220743922.1253
new delhi,2019,4,TOTAL,16310685,18429094743.25623
khordha,2019,4,TOTAL,13743261,19669451911.7042
visakhapatnam,2019,4,TOTAL,10498727,22289347327.905037
medchal malkajgiri,2019,4,TOTAL,10441675,26228173437.46787
kolkata,2019,4,TOTAL,10008230,21375916666.727257
bengaluru urban,2020,1,TOTAL,63671159,139394865595.49792
pune,2020,1,TOTAL,57330889,81134886975.52737
hyderabad,2020,1,TOTAL,43278566,64894935103.99599
jaipur,2020,1,TOTAL,24180734,56174137377.66255
rangareddy,2020,1,TOTAL,19881142,34803706848.31907
visakhapatnam,2020,1,TOTAL,14352747,29310364582.884754
medchal malkajgiri,2020,1,TOTAL,13167147,27716426760.692245
central delhi,2020,1,TOTAL,13084249,24503076745.659294
mumbai suburban,2020,1,TOTAL,11782987,25543182753.84958
khordha,2020,1,TOTAL,10817537,21066837485.651253
bengaluru urban,2020,2,TOTAL,39752686,101961882246.87434
pune,2020,2,TOTAL,38973791,66590268182.415665
hyderabad,2020,2,TOTAL,27617700,58352702890.56202
jaipur,2020,2,TOTAL,22032140,53610675078.51194
visakhapatnam,2020,2,TOTAL,14401400,26006450222.981194
rangareddy,2020,2,TOTAL,9780539,21370003546.27849
medchal malkajgiri,2020,2,TOTAL,9603835,29875811977.924408
