States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
maharashtra,2018,1,TOTAL,16387034,21711613257.725674
uttar pradesh,2018,1,TOTAL,12537805,13939970923.223106
karnataka,2018,1,TOTAL,12016899,19217895314.012802
west bengal,2018,1,TOTAL,11710225,10625978552.140453
andhra pradesh,2018,1,TOTAL,9039585,11996276391.823706
telangana,2018,1,TOTAL,8522766,13308204118.542435
madhya pradesh,2018,1,TOTAL,8025395,8681603403.446348
rajasthan,2018,1,TOTAL,7591690,8926293130.72684
delhi,2018,1,TOTAL,7122754,11211503806.91996
tamil nadu,2018,1,TOTAL,6726622,11261557697.516891
maharashtra,2018,2,TOTAL,22285740,36357057241.12254
west bengal,2018,2,TOTAL,18082446,18629183470.204285
uttar pradesh,2018,2,TOTAL,17710943,25720201695.701435
karnataka,2018,2,TOTAL,17116447,33515580081.29709
andhra pradesh,2018,2,TOTAL,12353918,22883914272.633617
telangana,2018,2,TOTAL,10764670,23017201517.652737
madhya pradesh,2018,2,TOTAL,10561412,15924081066.680984
tamil nadu,2018,2,TOTAL,9992128,20125844276.267662
rajasthan,2018,2,TOTAL,9973697,15559086175.759623
delhi,2018,2,TOTAL,9373723,17446299902.205147
west bengal,2018,3,TOTAL,53705416,41843934183.177635
maharashtra,2018,3,TOTAL,31538538,52260817733.24835
odisha,2018,3,TOTAL,30052155,23094515775.585762
uttar pradesh,2018,3,TOTAL,26515356,37012114369.23937
karnataka,2018,3,TOTAL,25980261,48225091755.80772
andhra pradesh,2018,3,TOTAL,25626061,35718044599.21416
telangana,2018,3,TOTAL,19332703,32030093209.72354
delhi,2018,3,TOTAL,18547048,27375846860.618515
madhya pradesh,2018,3,TOTAL,17126985,24149742204.673225
tamil nadu,2018,3,TOTAL,15774078,29330092241.18405
maharashtra,2018,4,TOTAL,46090223,79518937047.82959
karnataka,2018,4,TOTAL,44812071,73008386576.05942
west bengal,2018,4,TOTAL,36513548,40489619211.70402
uttar pradesh,2018,4,TOTAL,36100767,55096743575.91497
andhra pradesh,2018,4,TOTAL,30759548,51473779406.84041
delhi,2018,4,TOTAL,29187719,39722857618.706436
telangana,2018,4,TOTAL,28921154,49509088448.04927
tamil nadu,2018,4,TOTAL,22457444,43302073975.890976
madhya pradesh,2018,4,TOTAL,21397555,33905608072.964783
odisha,2018,4,TOTAL,21142798,23429869571.55922
karnataka,2019,1,TOTAL,86587609,117976382145.74966
maharashtra,2019,1,TOTAL,75079069,111420690920.33997
telangana,2019,1,TOTAL,65290702,95523262035.66321
uttar pradesh,2019,1,TOTAL,57324504,76524180134.0167
andhra pradesh,2019,1,TOTAL,57264522,83760595917.0792
west bengal,2019,1,TOTAL,47626388,50164672623.8785
delhi,2019,1,TOTAL,47007327,58469131789.49733
rajasthan,2019,1,TOTAL,43956040,61141158575.55252
madhya pradesh,2019,1,TOTAL,37301049,48070279522.042015
odisha,2019,1,TOTAL,34031942,35427127930.698456
karnataka,2019,2,TOTAL,115401604,163702024226.0841
maharashtra,2019,2,TOTAL,101149853,153294470088.05945
telangana,2019,2,TOTAL,89610379,155676443182.43457
uttar pradesh,2019,2,TOTAL,58883500,98917519370.67831
delhi,2019,2,TOTAL,57171512,81706816063.62862
andhra pradesh,2019,2,TOTAL,56409015,113634518758.22931
rajasthan,2019,2,TOTAL,50009286,89107313172.66756
west bengal,2019,2,TOTAL,47023535,57105691119.11844
madhya pradesh,2019,2,TOTAL,40846013,68334566380.56182
tamil nadu,2019,2,TOTAL,32171737,64207676025.75553
karnataka,2019,3,TOTAL,170733735,214536720438.18292
maharashtra,2019,3,TOTAL,148735581,199617506744.94272
telangana,2019,3,TOTAL,121495376,201930021130.42365
andhra pradesh,2019,3,TOTAL,76288614,139447944254.78943
delhi,2019,3,TOTAL,69537876,103196812046.45712
uttar pradesh,2019,3,TOTAL,68623959,111268137475.02844
rajasthan,2019,3,TOTAL,67303617,112468290031.92343
west bengal,2019,3,TOTAL,66444829,70540532616.82985
madhya pradesh,2019,3,TOTAL,53610411,77676321491.22867
odisha,2019,3,TOTAL,41422272,57304577359.217094
karnataka,2019,4,TOTAL,237796252,295047143447.2384
maharashtra,2019,4,TOTAL,201260620,272994428799.56488
telangana,2019,4,TOTAL,163572258,280746765547.7425
andhra pradesh,2019,4,TOTAL,107218103,200948315488.80518
west bengal,2019,4,TOTAL,96805838,88203610254.64601
uttar pradesh,2019,4,TOTAL,86905005,145538926507.3059
rajasthan,2019,4,TOTAL,85074242,159452410049.68317
delhi,2019,4,TOTAL,80744997,129024467424.89066
madhya pradesh,2019,4,TOTAL,68131989,104687926790.8659
odisha,2019,4,TOTAL,64995633,79769373632.04843
karnataka,2020,1,TOTAL,271033890,353402054999.4003
maharashtra,2020,1,TOTAL,238944081,319995196718.0683
telangana,2020,1,TOTAL,199409525,371343780368.2118
andhra pradesh,2020,1,TOTAL,127677357,252737214289.0485
rajasthan,2020,1,TOTAL,102258812,190308238561.00217
uttar pradesh,2020,1,TOTAL,97239132,172416434960.69037
delhi,2020,1,TOTAL,81747604,133616543642.58943
madhya pradesh,2020,1,TOTAL,79366746,126737281436.18527
tamil nadu,2020,1,TOTAL,66953473,116569686179.4346
west bengal,2020,1,TOTAL,66250381,96653305190.9406
karnataka,2020,2,TOTAL,213221712,321104877020.14185
maharashtra,2020,2,TOTAL,184790761,296359517159.4161
telangana,2020,2,TOTAL,152055143,321531839352.42236
andhra pradesh,2020,2,TOTAL,144917855,302583689746.5449
rajasthan,2020,2,TOTAL,101954656,193763273003.28284
uttar pradesh,2020,2,TOTAL,100851965,178744016130.31216
madhya pradesh,2020,2,TOTAL,76340573,147922015289.08447
delhi,2020,2,TOTAL,66042018,107873438203.3316
west bengal,2020,2,TOTAL,57676797,100099431877.35757
bihar,2020,2,TOTAL,53386742,128806523628.85289
karnataka,2020,3,TOTAL,300360531,470740515696.6945
maharashtra,2020,3,TOTAL,268310924,440307079012.4761
telangana,2020,3,TOTAL,236372126,505961144755.88367
andhra pradesh,2020,3,TOTAL,204902935,467084130584.9388
rajasthan,2020,3,TOTAL,149088676,293678306162.4698
uttar pradesh,2020,3,TOTAL,127405259,248689955423.05322
madhya pradesh,2020,3,TOTAL,108579881,205701679984.5376
delhi,2020,3,TOTAL,96491861,175163962804.6604
west bengal,2020,3,TOTAL,79954504,156813355855.1383
bihar,2020,3,TOTAL,71503748,173328865111.81442
karnataka,2020,4,TOTAL,431536984,658036698565.0032
maharashtra,2020,4,TOTAL,407621004,622155530832.2585
telangana,2020,4,TOTAL,343643787,696350439226.9452
andhra pradesh,2020,4,TOTAL,286118552,654841546033.3186
rajasthan,2020,4,TOTAL,190283435,386034779836.48376
uttar pradesh,2020,4,TOTAL,178167517,357428826778.2578
madhya pradesh,2020,4,TOTAL,153652541,284275139772.3589
delhi,2020,4,TOTAL,120540417,216265088224.54358
tamil nadu,2020,4,TOTAL,111179701,206473197500.99268
west bengal,2020,4,TOTAL,100340645,199165491365.6468
karnataka,2021,1,TOTAL,523797492,754995357412.3948
maharashtra,2021,1,TOTAL,517860240,769887352153.2483
telangana,2021,1,TOTAL,412572110,799359264046.5657
andhra pradesh,2021,1,TOTAL,289747970,672444670176.5881
rajasthan,2021,1,TOTAL,252730919,491492581657.63354
uttar pradesh,2021,1,TOTAL,204499547,396287587577.55756
madhya pradesh,2021,1,TOTAL,201998498,343533954382.3015
delhi,2021,1,TOTAL,157359004,266928345043.49225
tamil nadu,2021,1,TOTAL,136556674,248668143873.65317
west bengal,2021,1,TOTAL,118254052,242937207475.51984
maharashtra,2021,2,TOTAL,573616486,915115055623.7152
karnataka,2021,2,TOTAL,530649046,837887151230.051
telangana,2021,2,TOTAL,495867544,1027958332797.5903
andhra pradesh,2021,2,TOTAL,352767134,850737499108.2987
rajasthan,2021,2,TOTAL,287477039,561702765169.2324
uttar pradesh,2021,2,TOTAL,241949131,482172489166.39343
madhya pradesh,2021,2,TOTAL,223314680,425500768035.631
delhi,2021,2,TOTAL,170157264,281941097684.5416
bihar,2021,2,TOTAL,155603622,374580255186.58875
tamil nadu,2021,2,TOTAL,146158442,263487341026.54623
