States,Pincodes,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,south andaman,2018,1,TOTAL,1622,2769297.9039997994
andaman-&-nicobar-islands,nicobars,2018,1,TOTAL,1223,2238041.8716124697
andaman-&-nicobar-islands,north and middle andaman,2018,1,TOTAL,969,3519059.937562449
andaman-&-nicobar-islands,south andaman,2018,2,TOTAL,2701,6310089.917084678
andaman-&-nicobar-islands,nicobars,2018,2,TOTAL,1965,4752146.698501162
andaman-&-nicobar-islands,north and middle andaman,2018,2,TOTAL,1525,5810267.574788321
andaman-&-nicobar-islands,south andaman,2018,3,TOTAL,3462,10833893.444488766
andaman-&-nicobar-islands,nicobars,2018,3,TOTAL,3182,10184154.358592123
andaman-&-nicobar-islands,north and middle andaman,2018,3,TOTAL,2224,10365275.479700703
andaman-&-nicobar-islands,south andaman,2018,4,TOTAL,4674,16392855.280625317
andaman-&-nicobar-islands,north and middle andaman,2018,4,TOTAL,4576,17022520.257624768
andaman-&-nicobar-islands,nicobars,2018,4,TOTAL,3306,17019977.183053624
andaman-&-nicobar-islands,south andaman,2019,1,TOTAL,5742,19401964.77965755
andaman-&-nicobar-islands,north and middle andaman,2019,1,TOTAL,5156,15501306.227195919
andaman-&-nicobar-islands,nicobars,2019,1,TOTAL,3925,16683547.094795756
andaman-&-nicobar-islands,south andaman,2019,2,TOTAL,6142,15625676.560883244
andaman-&-nicobar-islands,north and middle andaman,2019,2,TOTAL,5847,23751450.067206983
andaman-&-nicobar-islands,nicobars,2019,2,TOTAL,4863,19061125.41121897
andaman-&-nicobar-islands,south andaman,2019,3,TOTAL,5680,19906337.014255583
andaman-&-nicobar-islands,north and middle andaman,2019,3,TOTAL,5606,18745152.093515635
andaman-&-nicobar-islands,nicobars,2019,3,TOTAL,4786,15754793.354826454
andaman-&-nicobar-islands,south andaman,2019,4,TOTAL,6633,20626642.701508522
andaman-&-nicobar-islands,north and middle andaman,2019,4,TOTAL,5282,23247752.473849062
andaman-&-nicobar-islands,nicobars,2019,4,TOTAL,4840,19792507.955761045
andaman-&-nicobar-islands,south andaman,2020,1,TOTAL,11793,58229349.02415232
andaman-&-nicobar-islands,north and middle andaman,2020,1,TOTAL,5870,22009443.073053975
andaman-&-nicobar-islands,nicobars,2020,1,TOTAL,4635,16774043.311987936
andaman-&-nicobar-islands,south andaman,2020,2,TOTAL,11868,48293323.21851964
andaman-&-nicobar-islands,north and middle andaman,2020,2,TOTAL,10035,26197535.98945152
andaman-&-nicobar-islands,nicobars,2020,2,TOTAL,9341,23203019.858980607
andaman-&-nicobar-islands,south andaman,2020,3,TOTAL,24386,100439119.66860783
andaman-&-nicobar-islands,north and middle andaman,2020,3,TOTAL,21272,60332278.69396809
andaman-&-nicobar-islands,nicobars,2020,3,TOTAL,17166,44061506.56273589
andaman-&-nicobar-islands,south andaman,2020,4,TOTAL,46884,138264791.5489212
andaman-&-nicobar-islands,north and middle andaman,2020,4,TOTAL,40392,136401368.02166596
andaman-&-nicobar-islands,nicobars,2020,4,TOTAL,34410,87838226.93633425
andaman-&-nicobar-islands,south andaman,2021,1,TOTAL,55726,190830957.0606181
andaman-&-nicobar-islands,north and middle andaman,2021,1,TOTAL,47328,158404100.7854989
andaman-&-nicobar-islands,nicobars,2021,1,TOTAL,35467,111571687.43195169
andaman-&-nicobar-islands,south andaman,2021,2,TOTAL,73334,227585492.7414593
andaman-&-nicobar-islands,north and middle andaman,2021,2,TOTAL,66321,174752815.1688521
andaman-&-nicobar-islands,nicobars,2021,2,TOTAL,52645,134835744.22049245
andaman-&-nicobar-islands,south andaman,2021,3,TOTAL,116324,388328168.7639693
andaman-&-nicobar-islands,north and middle andaman,2021,3,TOTAL,84790,246433385.80990067
andaman-&-nicobar-islands,nicobars,2021,3,TOTAL,67257,185238368.4767078
andaman-&-nicobar-islands,south andaman,2021,4,TOTAL,165719,533026207.9731797
andaman-&-nicobar-islands,north and middle andaman,2021,4,TOTAL,121613,372243734.27985656
andaman-&-nicobar-islands,nicobars,2021,4,TOTAL,95028,281223411.7435058
andaman-&-nicobar-islands,south andaman,2022,1,TOTAL,209941,615978080.6944855
andaman-&-nicobar-islands,north and middle andaman,2022,1,TOTAL,157230,399715980.1391735
andaman-&-nicobar-islands,nicobars,2022,1,TOTAL,122716,321850608.7396423
andaman-&-nicobar-islands,south andaman,2022,2,TOTAL,252722,702122365.3629664
andaman-&-nicobar-islands,north and middle andaman,2022,2,TOTAL,230746,561168775.5622396
andaman-&-nicobar-islands,nicobars,2022,2,TOTAL,176252,415796516.6034926
andaman-&-nicobar-islands,south andaman,2022,3,TOTAL,497273,951370315.4090765
andaman-&-nicobar-islands,north and middle andaman,2022,3,TOTAL,259994,545653686.3062732
andaman-&-nicobar-islands,nicobars,2022,3,TOTAL,213864,444967255.802143
andaman-&-nicobar-islands,south andaman,2022,4,TOTAL,684366,1309407988.2902
andaman-&-nicobar-islands,north and middle andaman,2022,4,TOTAL,304600,612929267.1773143
andaman-&-nicobar-islands,nicobars,2022,4,TOTAL,258097,505662756.1128938
andhra-pradesh,visakhapatnam,2018,1,TOTAL,110496,163487278.84449506
andhra-pradesh,east godavari,2018,1,TOTAL,96883,170605900.5466873
andhra-pradesh,krishna,2018,1,TOTAL,92754,133522310.75704184
andhra-pradesh,chittoor,2018,1,TOTAL,88132,127450018.2101582
andhra-pradesh,guntur,2018,1,TOTAL,84644,131194265.5243713
andhra-pradesh,kurnool,2018,1,TOTAL,82421,68040306.13881023
andhra-pradesh,anantapur,2018,1,TOTAL,81891,140880970.0990568
andhra-pradesh,west godavari,2018,1,TOTAL,69581,119009921.97401813
andhra-pradesh,prakasam,2018,1,TOTAL,68340,101612118.88480642
andhra-pradesh,spsr nellore,2018,1,TOTAL,68193,81006512.71677604
andhra-pradesh,visakhapatnam,2018,2,TOTAL,165506,305629373.15863353
andhra-pradesh,krishna,2018,2,TOTAL,140893,127814123.87394845
andhra-pradesh,east godavari,2018,2,TOTAL,129798,285924993.6163615
andhra-pradesh,chittoor,2018,2,TOTAL,127731,243405277.90481398
andhra-pradesh,guntur,2018,2,TOTAL,123176,271911611.0495833
andhra-pradesh,kurnool,2018,2,TOTAL,114806,242175477.6115077
andhra-pradesh,anantapur,2018,2,TOTAL,111874,235770318.03054443
andhra-pradesh,west godavari,2018,2,TOTAL,100630,220730389.6490364
andhra-pradesh,spsr nellore,2018,2,TOTAL,96619,197068813.60447282
andhra-pradesh,prakasam,2018,2,TOTAL,93442,163942778.22947574
andhra-pradesh,visakhapatnam,2018,3,TOTAL,1300146,709765829.9649723
andhra-pradesh,east godavari,2018,3,TOTAL,421968,240766495.05853492
andhra-pradesh,kurnool,2018,3,TOTAL,296154,291247918.8462258
andhra-pradesh,krishna,2018,3,TOTAL,295403,466133618.6014985
andhra-pradesh,chittoor,2018,3,TOTAL,276595,438158383.2247275
andhra-pradesh,guntur,2018,3,TOTAL,234494,380410223.19526947
andhra-pradesh,anantapur,2018,3,TOTAL,233347,386563858.6898683
andhra-pradesh,ysr,2018,3,TOTAL,220165,109844218.671292
andhra-pradesh,west godavari,2018,3,TOTAL,213275,291805923.00111276
andhra-pradesh,prakasam,2018,3,TOTAL,206435,371140000.30740225
andhra-pradesh,visakhapatnam,2018,4,TOTAL,441662,332201263.2829269
andhra-pradesh,chittoor,2018,4,TOTAL,423357,714887920.0334857
andhra-pradesh,east godavari,2018,4,TOTAL,367619,575982481.3389585
andhra-pradesh,krishna,2018,4,TOTAL,355695,651952970.9302757
andhra-pradesh,guntur,2018,4,TOTAL,318300,594747982.0458119
andhra-pradesh,kurnool,2018,4,TOTAL,277131,356075793.85855436
andhra-pradesh,anantapur,2018,4,TOTAL,269798,572252390.1920383
andhra-pradesh,spsr nellore,2018,4,TOTAL,250261,492229977.1570112
andhra-pradesh,ysr,2018,4,TOTAL,248725,326891428.60271376
andhra-pradesh,prakasam,2018,4,TOTAL,248520,357423401.5571966
andhra-pradesh,visakhapatnam,2019,1,TOTAL,950821,1529039457.6419592
andhra-pradesh,chittoor,2019,1,TOTAL,922416,1244725311.4573965
andhra-pradesh,krishna,2019,1,TOTAL,814616,1462807205.627422
andhra-pradesh,east godavari,2019,1,TOTAL,684611,960022481.5524917
andhra-pradesh,guntur,2019,1,TOTAL,671661,1009128524.8128469
andhra-pradesh,kurnool,2019,1,TOTAL,609682,1009938283.8464416
andhra-pradesh,anantapur,2019,1,TOTAL,545426,389782596.9665674
andhra-pradesh,spsr nellore,2019,1,TOTAL,527667,590799502.8850918
andhra-pradesh,prakasam,2019,1,TOTAL,472914,531596255.9349663
andhra-pradesh,ysr,2019,1,TOTAL,460133,774931063.0289192
andhra-pradesh,visakhapatnam,2019,2,TOTAL,2602865,5218795715.70141
andhra-pradesh,krishna,2019,2,TOTAL,1828617,3823390190.0922346
andhra-pradesh,chittoor,2019,2,TOTAL,949187,1669949938.5076957
andhra-pradesh,guntur,2019,2,TOTAL,839909,1759418775.980979
andhra-pradesh,east godavari,2019,2,TOTAL,793798,1257915825.5688605
andhra-pradesh,kurnool,2019,2,TOTAL,760335,1412863012.2407691
andhra-pradesh,anantapur,2019,2,TOTAL,567306,1282118916.2094193
andhra-pradesh,spsr nellore,2019,2,TOTAL,520142,718170914.395836
andhra-pradesh,prakasam,2019,2,TOTAL,490697,973983824.5472903
andhra-pradesh,ysr,2019,2,TOTAL,480905,650710126.3382195
andhra-pradesh,visakhapatnam,2019,3,TOTAL,2944756,6693257653.901131
andhra-pradesh,krishna,2019,3,TOTAL,1905190,4414503365.699517
andhra-pradesh,chittoor,2019,3,TOTAL,1434209,2203932856.2972074
andhra-pradesh,guntur,2019,3,TOTAL,1196020,1658162548.562835
andhra-pradesh,east godavari,2019,3,TOTAL,1060513,1854927351.7366562
andhra-pradesh,kurnool,2019,3,TOTAL,1003916,2216532548.7258
andhra-pradesh,anantapur,2019,3,TOTAL,868052,1667826831.8650486
andhra-pradesh,spsr nellore,2019,3,TOTAL,858005,970993081.1712441
andhra-pradesh,prakasam,2019,3,TOTAL,799271,911939243.0618924
andhra-pradesh,ysr,2019,3,TOTAL,711726,1095056835.9858122
andhra-pradesh,visakhapatnam,2019,4,TOTAL,4185063,9160387223.4497
andhra-pradesh,krishna,2019,4,TOTAL,2544877,5933007156.535349
andhra-pradesh,chittoor,2019,4,TOTAL,1920211,3073084029.9256625
andhra-pradesh,guntur,2019,4,TOTAL,1591033,2295184224.145106
andhra-pradesh,east godavari,2019,4,TOTAL,1438154,2509394595.5414515
andhra-pradesh,kurnool,2019,4,TOTAL,1406768,2478459132.7705936
andhra-pradesh,anantapur,2019,4,TOTAL,1324202,2927313967.683236
