Pincodes,Transaction_Year,Quarters,registeredUsers
201301,2018,1,114625
500072,2018,1,105012
560068,2018,1,98487
110059,2018,1,95496
110092,2018,1,83600
122001,2018,1,82656
560037,2018,1,75304
395006,2018,1,72275
800001,2018,1,71092
302012,2018,1,68098
201301,2018,2,151073
500072,2018,2,129543
560068,2018,2,128921
110059,2018,2,124901
110092,2018,2,108175
122001,2018,2,107275
800001,2018,2,94711
395006,2018,2,94500
560037,2018,2,93771
302012,2018,2,89071
201301,2018,3,188664
110059,2018,3,156028
500072,2018,3,152034
560068,2018,3,151862
110092,2018,3,136676
122001,2018,3,130847
395006,2018,3,113391
302012,2018,3,107088
560037,2018,3,106572
800001,2018,3,106255
201301,2018,4,250205
110059,2018,4,206537
560068,2018,4,201605
110092,2018,4,177133
500072,2018,4,175163
122001,2018,4,163556
560037,2018,4,137280
800001,2018,4,134254
110086,2018,4,133412
110085,2018,4,132600
201301,2019,1,301260
110059,2019,1,246566
560068,2019,1,237280
500072,2019,1,221180
110092,2019,1,206805
122001,2019,1,194366
110086,2019,1,158267
560078,2019,1,157977
395006,2019,1,157558
560076,2019,1,157367
201301,2019,2,336709
110059,2019,2,274593
560068,2019,2,263531
500072,2019,2,242007
110092,2019,2,228546
122001,2019,2,217913
421302,2019,2,182371
395006,2019,2,180042
560078,2019,2,178837
110086,2019,2,177199
201301,2019,3,369425
110059,2019,3,300007
560068,2019,3,289417
500072,2019,3,261019
110092,2019,3,248727
122001,2019,3,239679
421302,2019,3,208109
395006,2019,3,198132
110086,2019,3,194575
800001,2019,3,194197
201301,2019,4,398548
110059,2019,4,320535
560068,2019,4,313673
500072,2019,4,279498
110092,2019,4,264380
122001,2019,4,258880
421302,2019,4,243170
560078,2019,4,218317
395006,2019,4,214322
560076,2019,4,211683
201301,2020,1,425915
110059,2020,1,342152
560068,2020,1,334481
500072,2020,1,296003
110092,2020,1,280039
122001,2020,1,277400
421302,2020,1,270275
560078,2020,1,234102
395006,2020,1,230047
110086,2020,1,226703
201301,2020,2,445271
110059,2020,2,365614
560068,2020,2,351484
500072,2020,2,309469
421302,2020,2,298762
110092,2020,2,295000
122001,2020,2,293479
560078,2020,2,247869
110086,2020,2,246312
395006,2020,2,245129
201301,2020,3,472490
110059,2020,3,393571
560068,2020,3,373446
421302,2020,3,328833
500072,2020,3,328018
110092,2020,3,314384
122001,2020,3,314031
110086,2020,3,267186
560078,2020,3,265627
121004,2020,3,261230
201301,2020,4,504506
110059,2020,4,423149
560068,2020,4,399638
421302,2020,4,365506
500072,2020,4,350832
122001,2020,4,336803
110092,2020,4,335783
110086,2020,4,288308
560078,2020,4,285544
121004,2020,4,283882
201301,2021,1,541127
110059,2021,1,454201
560068,2021,1,427525
421302,2021,1,396179
500072,2021,1,375272
122001,2021,1,361360
110092,2021,1,359376
110086,2021,1,310419
121004,2021,1,306230
560078,2021,1,305721
201301,2021,2,577428
110059,2021,2,485328
560068,2021,2,455417
421302,2021,2,424376
500072,2021,2,398987
122001,2021,2,385555
110092,2021,2,383095
110086,2021,2,332618
121004,2021,2,328000
560078,2021,2,325334
201301,2021,3,618043
110059,2021,3,520096
560068,2021,3,486170
421302,2021,3,456284
500072,2021,3,425197
122001,2021,3,412737
110092,2021,3,409520
110086,2021,3,357590
121004,2021,3,352312
560078,2021,3,346840
201301,2021,4,659549
110059,2021,4,555449
560068,2021,4,517115
421302,2021,4,488443
500072,2021,4,451595
122001,2021,4,440178
110092,2021,4,436075
110086,2021,4,382858
121004,2021,4,376910
560078,2021,4,368213
201301,2022,1,698600
110059,2022,1,588266
560068,2022,1,545827
421302,2022,1,518716
500072,2022,1,476073
122001,2022,1,465984
110092,2022,1,460951
110086,2022,1,406863
121004,2022,1,400283
560078,2022,1,388154
201301,2022,2,735907
110059,2022,2,619737
560068,2022,2,573310
421302,2022,2,547501
500072,2022,2,499269
122001,2022,2,490709
110092,2022,2,484816
110086,2022,2,429566
121004,2022,2,422488
560078,2022,2,407066
201301,2022,3,774591
110059,2022,3,652328
560068,2022,3,601656
421302,2022,3,577754
500072,2022,3,523196
122001,2022,3,516313
110092,2022,3,509260
110086,2022,3,453393
121004,2022,3,445822
201009,2022,3,428994
201301,2022,4,814008
110059,2022,4,685596
560068,2022,4,630255
421302,2022,4,608005
500072,2022,4,547282
122001,2022,4,542209
110092,2022,4,534009
110086,2022,4,477514
121004,2022,4,468607
201009,2022,4,451153
