States,District,Transaction_Year,Quarters,registeredUsers
andaman-&-nicobar-islands,south andaman,2018,1,5846
andaman-&-nicobar-islands,north and middle andaman,2018,1,632
andaman-&-nicobar-islands,nicobars,2018,1,262
andaman-&-nicobar-islands,south andaman,2018,2,8143
andaman-&-nicobar-islands,north and middle andaman,2018,2,911
andaman-&-nicobar-islands,nicobars,2018,2,351
andaman-&-nicobar-islands,south andaman,2018,3,10474
andaman-&-nicobar-islands,north and middle andaman,2018,3,1208
andaman-&-nicobar-islands,nicobars,2018,3,467
andaman-&-nicobar-islands,south andaman,2018,4,13133
andaman-&-nicobar-islands,north and middle andaman,2018,4,1553
andaman-&-nicobar-islands,nicobars,2018,4,536
andaman-&-nicobar-islands,south andaman,2019,1,15961
andaman-&-nicobar-islands,north and middle andaman,2019,1,2013
andaman-&-nicobar-islands,nicobars,2019,1,622
andaman-&-nicobar-islands,south andaman,2019,2,18621
andaman-&-nicobar-islands,north and middle andaman,2019,2,2417
andaman-&-nicobar-islands,nicobars,2019,2,693
andaman-&-nicobar-islands,south andaman,2019,3,20518
andaman-&-nicobar-islands,north and middle andaman,2019,3,2662
andaman-&-nicobar-islands,nicobars,2019,3,751
andaman-&-nicobar-islands,south andaman,2019,4,22202
andaman-&-nicobar-islands,north and middle andaman,2019,4,2955
andaman-&-nicobar-islands,nicobars,2019,4,803
andaman-&-nicobar-islands,south andaman,2020,1,24174
andaman-&-nicobar-islands,north and middle andaman,2020,1,3315
andaman-&-nicobar-islands,nicobars,2020,1,879
andaman-&-nicobar-islands,south andaman,2020,2,27626
andaman-&-nicobar-islands,north and middle andaman,2020,2,4100
andaman-&-nicobar-islands,nicobars,2020,2,984
andaman-&-nicobar-islands,south andaman,2020,3,34833
andaman-&-nicobar-islands,north and middle andaman,2020,3,5355
andaman-&-nicobar-islands,nicobars,2020,3,1147
andaman-&-nicobar-islands,south andaman,2020,4,43908
andaman-&-nicobar-islands,north and middle andaman,2020,4,7076
andaman-&-nicobar-islands,nicobars,2020,4,1412
andaman-&-nicobar-islands,south andaman,2021,1,48352
andaman-&-nicobar-islands,north and middle andaman,2021,1,7833
andaman-&-nicobar-islands,nicobars,2021,1,1573
andaman-&-nicobar-islands,south andaman,2021,2,51903
andaman-&-nicobar-islands,north and middle andaman,2021,2,8493
andaman-&-nicobar-islands,nicobars,2021,2,1699
andaman-&-nicobar-islands,south andaman,2021,3,55873
andaman-&-nicobar-islands,north and middle andaman,2021,3,9263
andaman-&-nicobar-islands,nicobars,2021,3,1846
andaman-&-nicobar-islands,south andaman,2021,4,59807
andaman-&-nicobar-islands,north and middle andaman,2021,4,10002
andaman-&-nicobar-islands,nicobars,2021,4,1971
andaman-&-nicobar-islands,south andaman,2022,1,63487
andaman-&-nicobar-islands,north and middle andaman,2022,1,10720
andaman-&-nicobar-islands,nicobars,2022,1,2081
andaman-&-nicobar-islands,south andaman,2022,2,66959
andaman-&-nicobar-islands,north and middle andaman,2022,2,11379
andaman-&-nicobar-islands,nicobars,2022,2,2192
andaman-&-nicobar-islands,south andaman,2022,3,70445
andaman-&-nicobar-islands,north and middle andaman,2022,3,11897
andaman-&-nicobar-islands,nicobars,2022,3,2300
andaman-&-nicobar-islands,south andaman,2022,4,73692
andaman-&-nicobar-islands,north and middle andaman,2022,4,12361
andaman-&-nicobar-islands,nicobars,2022,4,2389
andhra-pradesh,visakhapatnam,2018,1,497187
andhra-pradesh,east godavari,2018,1,350356
andhra-pradesh,krishna,2018,1,323673
andhra-pradesh,guntur,2018,1,317065
andhra-pradesh,chittoor,2018,1,309541
andhra-pradesh,anantapur,2018,1,241192
andhra-pradesh,kurnool,2018,1,240133
andhra-pradesh,west godavari,2018,1,213335
andhra-pradesh,spsr nellore,2018,1,194475
