States,Pincodes,Transaction_Year,Quarters,registeredUsers
andaman-&-nicobar-islands,south andaman,2018,1,1608
andaman-&-nicobar-islands,north and middle andaman,2018,1,1108
andaman-&-nicobar-islands,nicobars,2018,1,1075
andaman-&-nicobar-islands,south andaman,2018,2,2188
andaman-&-nicobar-islands,north and middle andaman,2018,2,1521
andaman-&-nicobar-islands,nicobars,2018,2,1492
andaman-&-nicobar-islands,south andaman,2018,3,2741
andaman-&-nicobar-islands,north and middle andaman,2018,3,1978
andaman-&-nicobar-islands,nicobars,2018,3,1935
andaman-&-nicobar-islands,south andaman,2018,4,3373
andaman-&-nicobar-islands,north and middle andaman,2018,4,2498
andaman-&-nicobar-islands,nicobars,2018,4,2416
andaman-&-nicobar-islands,south andaman,2019,1,4136
andaman-&-nicobar-islands,north and middle andaman,2019,1,3030
andaman-&-nicobar-islands,nicobars,2019,1,2994
andaman-&-nicobar-islands,south andaman,2019,2,4748
andaman-&-nicobar-islands,north and middle andaman,2019,2,3631
andaman-&-nicobar-islands,nicobars,2019,2,3547
andaman-&-nicobar-islands,south andaman,2019,3,5218
andaman-&-nicobar-islands,north and middle andaman,2019,3,4026
andaman-&-nicobar-islands,nicobars,2019,3,3920
andaman-&-nicobar-islands,south andaman,2019,4,5637
andaman-&-nicobar-islands,north and middle andaman,2019,4,4321
andaman-&-nicobar-islands,nicobars,2019,4,4277
andaman-&-nicobar-islands,south andaman,2020,1,6108
andaman-&-nicobar-islands,north and middle andaman,2020,1,4689
andaman-&-nicobar-islands,nicobars,2020,1,4684
andaman-&-nicobar-islands,south andaman,2020,2,6804
andaman-&-nicobar-islands,north and middle andaman,2020,2,5479
andaman-&-nicobar-islands,nicobars,2020,2,5365
andaman-&-nicobar-islands,south andaman,2020,3,8318
andaman-&-nicobar-islands,north and middle andaman,2020,3,7007
andaman-&-nicobar-islands,nicobars,2020,3,6881
andaman-&-nicobar-islands,south andaman,2020,4,10408
andaman-&-nicobar-islands,north and middle andaman,2020,4,8962
andaman-&-nicobar-islands,nicobars,2020,4,8593
andaman-&-nicobar-islands,south andaman,2021,1,11416
andaman-&-nicobar-islands,north and middle andaman,2021,1,9934
andaman-&-nicobar-islands,nicobars,2021,1,9457
andaman-&-nicobar-islands,south andaman,2021,2,12268
andaman-&-nicobar-islands,north and middle andaman,2021,2,10668
andaman-&-nicobar-islands,nicobars,2021,2,10120
andaman-&-nicobar-islands,south andaman,2021,3,13198
andaman-&-nicobar-islands,north and middle andaman,2021,3,11480
andaman-&-nicobar-islands,nicobars,2021,3,10866
andaman-&-nicobar-islands,south andaman,2021,4,14127
andaman-&-nicobar-islands,north and middle andaman,2021,4,12300
andaman-&-nicobar-islands,nicobars,2021,4,11623
andaman-&-nicobar-islands,south andaman,2022,1,15011
andaman-&-nicobar-islands,north and middle andaman,2022,1,13070
andaman-&-nicobar-islands,nicobars,2022,1,12300
andaman-&-nicobar-islands,south andaman,2022,2,15799
andaman-&-nicobar-islands,north and middle andaman,2022,2,13791
andaman-&-nicobar-islands,nicobars,2022,2,12947
andaman-&-nicobar-islands,south andaman,2022,3,16666
andaman-&-nicobar-islands,north and middle andaman,2022,3,14503
andaman-&-nicobar-islands,nicobars,2022,3,13649
andaman-&-nicobar-islands,south andaman,2022,4,17406
andaman-&-nicobar-islands,north and middle andaman,2022,4,15185
andaman-&-nicobar-islands,nicobars,2022,4,14337
andhra-pradesh,visakhapatnam,2018,1,39884
andhra-pradesh,east godavari,2018,1,34201
andhra-pradesh,krishna,2018,1,34111
andhra-pradesh,guntur,2018,1,31964
andhra-pradesh,chittoor,2018,1,29078
andhra-pradesh,anantapur,2018,1,29043
andhra-pradesh,kurnool,2018,1,26889
andhra-pradesh,west godavari,2018,1,26187
andhra-pradesh,spsr nellore,2018,1,24397
andhra-pradesh,prakasam,2018,1,23439
andhra-pradesh,visakhapatnam,2018,2,53468
andhra-pradesh,east godavari,2018,2,45241
andhra-pradesh,krishna,2018,2,43386
andhra-pradesh,guntur,2018,2,42466
andhra-pradesh,chittoor,2018,2,38402
andhra-pradesh,anantapur,2018,2,37593
andhra-pradesh,kurnool,2018,2,34544
andhra-pradesh,west godavari,2018,2,34126
andhra-pradesh,spsr nellore,2018,2,31871
andhra-pradesh,prakasam,2018,2,31134
andhra-pradesh,visakhapatnam,2018,3,65157
andhra-pradesh,east godavari,2018,3,54849
andhra-pradesh,krishna,2018,3,52259
andhra-pradesh,guntur,2018,3,51449
